Platform,Full_Name,Company
2600,Atari 2600,Atari
3DO,3DO Interactive Multiplayer,3DO
3DS,Nintendo 3DS,Nintendo
DC,DreamCast,Sega
DS,Nintendo DS,Nintendo
GB,GameBoy,Nintendo
GBA,GameBoy Advance,Nintendo
GC,Game Cube,Nintendo
GEN,Sega Genesis,Sega
GG,Game Gear,Sega
N64,Nintendo 64,Nintendo
NES,NES,Nintendo
NG,Neo Geo,SNK
PC,PC Windows,PC
PCFX,PCFX,PC
PS,Play Station,Sony
PS2,Play Station 2,Sony
PS3,Play Station 3,Sony
PS4,Play Station 4,Sony
PSP,Play Station Portable,Sony
PSV,Play Station Vita,Sony
SAT,Sega Saturn,Sega
SCD,Sega CD,Sega
SNES,Super Nintendo,Nintendo
TG16,TurboGrafx-16,NEC
Wii,Wii,Nintendo
WiiU,Wii U,Nintendo
WS,Wonder Swan,Bandai
X360,Xbox 360,Mictosoft
XB,Xbox,Microsoft
XONE,Xbox One,Microsoft
